id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,first_name,second_name,web_name
197,90,0,0,0,1,0,0,0,0,0,0,0,18,25.6,11.8,7.0,4.4,2,FALSE,Fabio Henrique,Tavares,Fabinho
198,90,0,0,0,1,0,0,0,0,0,0,0,12,12.2,6.2,41.0,5.9,2,FALSE,Jordan,Henderson,Henderson
199,90,0,0,0,1,0,0,0,0,0,0,0,11,3.8,5.2,2.0,1.1,2,FALSE,Georginio,Wijnaldum,Wijnaldum
200,4,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,1,FALSE,James,Milner,Milner
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Rafael,Camacho,Camacho
214,90,3,0,1,0,0,0,0,1,0,0,3,55,103.6,12.7,74.0,19.0,20,TRUE,Raheem,Sterling,Sterling
215,78,0,1,1,0,0,0,0,0,0,0,1,37,37.8,37.4,27.0,10.2,7,FALSE,Kevin,De Bruyne,De Bruyne
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Leroy,Sané,Sané
217,90,0,3,1,0,0,0,0,0,0,0,2,45,52.6,51.2,39.0,14.3,14,TRUE,Riyad,Mahrez,Mahrez
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Bernardo Mota,Veiga de Carvalho e Silva,Bernardo Silva
219,79,0,0,1,0,0,0,0,0,0,0,0,11,7.2,32.3,17.0,5.7,3,FALSE,David,Silva,David Silva
220,10,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.4,0.0,0.1,1,FALSE,Phil,Foden,Foden
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Fernando,Luiz Rosa,Fernandinho
222,11,0,0,0,0,0,0,0,0,0,0,0,3,1.2,3.8,0.0,0.5,1,FALSE,Ilkay,Gündogan,Gündogan
238,90,0,2,1,0,0,0,0,0,0,0,0,30,43.2,48.8,6.0,9.8,9,FALSE,Paul,Pogba,Pogba
239,90,1,0,1,0,0,0,0,1,0,0,0,19,39.2,19.3,71.0,13.0,7,FALSE,Anthony,Martial,Martial
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Alexis,Sánchez,Sánchez
241,85,0,0,1,0,0,0,0,1,0,0,0,2,0.2,13.3,2.0,1.6,2,FALSE,Jesse,Lingard,Lingard
242,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.9,0.0,0.1,1,FALSE,Juan,Mata,Mata
243,16,1,0,0,0,0,0,0,0,0,0,0,21,33.0,0.5,17.0,5.1,6,FALSE,Daniel,James,James
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Frederico,Rodrigues de Paula Santos,Fred
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Angel,Gomes,Gomes
246,73,0,1,1,0,0,0,0,0,0,0,0,22,22.0,20.1,4.0,4.6,6,FALSE,Andreas,Pereira,Pereira
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Nemanja,Matic,Matic
248,90,0,0,1,0,0,0,0,0,0,0,0,11,8.2,1.2,2.0,1.1,3,FALSE,Scott,McTominay,McTominay
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Tahith,Chong,Chong
